Name	Type	Subtype	CMC	Colors	Power	Toughness	Text	Sets
Cognivore	['Creature']	['Lhurgoyf']	8	['Blue']	*	*	Flying Cognivore's power and toughness are each equal to the number of instant cards in all graveyards.	['ODY']
Angelic Arbiter	['Creature']	['Angel']	7	['White']	5	6	Flying Each opponent who cast a spell this turn can't attack with creatures. Each opponent who attacked with a creature this turn can't cast spells.	['M11', 'CMD']
Narcomoeba	['Creature']	['Illusion']	2	['Blue']	1	1	Flying When Narcomoeba is put into your graveyard from your library, you may put it onto the battlefield.	['FUT', 'MMA']
Ghost Council of Orzhova	['Creature']	['Spirit']	4	['White', 'Black']	4	4	When Ghost Council of Orzhova enters the battlefield, target opponent loses 1 life and you gain 1 life. {1}, Sacrifice a creature: Exile Ghost Council of Orzhova. Return it to the battlefield under its owner's control at the beginning of the next end step.	['GPT', 'MM2']
Sage of the Inward Eye	['Creature']	['Djinn', 'Wizard']	5	['White', 'Blue', 'Red']	3	4	Flying Whenever you cast a noncreature spell, creatures you control gain lifelink until end of turn.	['pMEI', 'pPRE', 'KTK']
Alabaster Mage	['Creature']	['Human', 'Wizard']	2	['White']	2	1	{1}{W}: Target creature you control gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)	['M12']
Kraken of the Straits	['Creature']	['Kraken']	7	['Blue']	6	6	Creatures with power less than the number of Islands you control can't block Kraken of the Straits.	['BNG']
Soldevi Heretic	['Creature']	['Human', 'Cleric']	3	['Blue']	2	2	{W}, {T}: Prevent the next 2 damage that would be dealt to target creature this turn. Target opponent may draw a card.	['ALL']
Ur-Drago	['Creature']	['Elemental']	7	['Blue', 'Black']	4	4	First strike Creatures with swampwalk can be blocked as though they didn't have swampwalk.	['LEG']
Falkenrath Torturer	['Creature']	['Vampire']	3	['Black']	2	1	Sacrifice a creature: Falkenrath Torturer gains flying until end of turn. If the sacrificed creature was a Human, put a +1/+1 counter on Falkenrath Torturer.	['DKA']
Scuttling Doom Engine	['Artifact', 'Creature']	['Construct']	6	colorless	6	6	Scuttling Doom Engine can't be blocked by creatures with power 2 or less. When Scuttling Doom Engine dies, it deals 6 damage to target opponent.	['M15']
Hematite Golem	['Artifact', 'Creature']	['Golem']	4	colorless	1	4	{1}{R}: Hematite Golem gets +2/+0 until end of turn.	['MRD']
Tovolar's Magehunter	['Creature']	['Werewolf']	No-cmc	['Red']	5	5	Whenever an opponent casts a spell, Tovolar's Magehunter deals 2 damage to that player. At the beginning of each upkeep, if a player cast two or more spells last turn, transform Tovolar's Magehunter.	['pLPA', 'DKA']
Rowan Treefolk	['Creature']	['Treefolk']	4	['Green']	3	4	NA	['POR']
Æther Adept	['Creature']	['Human', 'Wizard']	3	['Blue']	2	2	When Æther Adept enters the battlefield, return target creature to its owner's hand.	['M11', 'M12', 'DDM']
Palladium Myr	['Artifact', 'Creature']	['Myr']	3	colorless	2	2	{T}: Add {2} to your mana pool.	['SOM', 'C14']
Bloodcrazed Hoplite	['Creature']	['Human', 'Soldier']	2	['Black']	2	1	Heroic — Whenever you cast a spell that targets Bloodcrazed Hoplite, put a +1/+1 counter on it. Whenever a +1/+1 counter is placed on Bloodcrazed Hoplite, remove a +1/+1 counter from target creature an opponent controls.	['JOU']
Gaea's Herald	['Creature']	['Elf']	2	['Green']	1	1	Creature spells can't be countered.	['PLS', '8ED', '10E', 'DPA']
Temporal Adept	['Creature']	['Human', 'Wizard']	3	['Blue']	1	1	{U}{U}{U}, {T}: Return target permanent to its owner's hand.	['UDS', '7ED', '8ED', '9ED']
Giant Oyster	['Creature']	['Oyster']	4	['Blue']	0	3	You may choose not to untap Giant Oyster during your untap step. {T}: For as long as Giant Oyster remains tapped, target tapped creature doesn't untap during its controller's untap step, and at the beginning of each of your draw steps, put a -1/-1 counter on that creature. When Giant Oyster leaves the battlefield or becomes untapped, remove all -1/-1 counters from the creature.	['HML', 'TSB']
Heliod's Emissary	['Enchantment', 'Creature']	['Elk']	4	['White']	3	3	Bestow {6}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.) Whenever Heliod's Emissary or enchanted creature attacks, tap target creature an opponent controls. Enchanted creature gets +3/+3.	['THS']
Brutal Hordechief	['Creature']	['Orc', 'Warrior']	4	['Black']	3	3	Whenever a creature you control attacks, defending player loses 1 life and you gain 1 life. {3}{R/W}{R/W}: Creatures your opponents control block this turn if able, and you choose how those creatures block.	['FRF']
Tobita, Master of Winds	['Creature']	['Human', 'Wizard']	2	['Blue']	3	3	Creatures you control have flying.	['CHK']
Phantasmal Sphere	['Creature']	['Illusion']	2	['Blue']	0	1	Flying At the beginning of your upkeep, put a +1/+1 counter on Phantasmal Sphere, then sacrifice Phantasmal Sphere unless you pay {1} for each +1/+1 counter on it. When Phantasmal Sphere leaves the battlefield, target opponent puts an X/X blue Orb creature token with flying onto the battlefield, where X is the number of +1/+1 counters on Phantasmal Sphere.	['ALL']
Treespring Lorian	['Creature']	['Beast']	6	['Green']	5	4	Morph {5}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	['ONS']
Titan of Eternal Fire	['Creature']	['Giant']	6	['Red']	5	6	Each Human creature you control has "{R}, {T}: This creature deals 1 damage to target creature or player."	['THS']
Coastline Chimera	['Creature']	['Chimera']	4	['Blue']	1	5	Flying {1}{W}: Coastline Chimera can block an additional creature this turn.	['THS']
Macetail Hystrodon	['Creature']	['Beast']	7	['Red']	4	4	First strike, haste Cycling {3} ({3}, Discard this card: Draw a card.)	['LGN']
Goblin Spelunkers	['Creature']	['Goblin', 'Warrior']	3	['Red']	2	2	Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)	['USG', '7ED', 'RAV']
Aven Redeemer	['Creature']	['Bird', 'Cleric']	4	['White']	2	2	Flying {T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.	['LGN']
Ondu Giant	['Creature']	['Giant', 'Druid']	4	['Green']	2	4	When Ondu Giant enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.	['ROE', 'PC2', 'DDP']
Ebon Praetor	['Creature']	['Avatar', 'Praetor']	6	['Black']	5	5	First strike, trample At the beginning of your upkeep, put a -2/-2 counter on Ebon Praetor. Sacrifice a creature: Remove a -2/-2 counter from Ebon Praetor. If the sacrificed creature was a Thrull, put a +1/+0 counter on Ebon Praetor. Activate this ability only during your upkeep and only once each turn.	['FEM', 'ME2']
Magus of the Moon	['Creature']	['Human', 'Wizard']	3	['Red']	2	2	Nonbasic lands are Mountains.	['FUT']
Tar Pit Warrior	['Creature']	['Cyclops', 'Warrior']	3	['Black']	3	4	When Tar Pit Warrior becomes the target of a spell or ability, sacrifice it.	['VIS', 'BTD']
Roaring Primadox	['Creature']	['Beast']	4	['Green']	4	4	At the beginning of your upkeep, return a creature you control to its owner's hand.	['M13', 'M15']
Balduvian Fallen	['Creature']	['Zombie']	4	['Black']	3	5	Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) Whenever Balduvian Fallen's cumulative upkeep is paid, it gets +1/+0 until end of turn for each {B} or {R} spent this way.	['CSP']
Wandering Champion	['Creature']	['Human', 'Monk']	2	['White']	3	1	Whenever Wandering Champion deals combat damage to a player, if you control a blue or red permanent, you may discard a card. If you do, draw a card.	['FRF']
Dawnbringer Charioteers	['Creature']	['Human', 'Soldier']	4	['White']	2	4	Flying, lifelink Heroic — Whenever you cast a spell that targets Dawnbringer Charioteers, put a +1/+1 counter on Dawnbringer Charioteers.	['pPRE', 'JOU']
Kentaro, the Smiling Cat	['Creature']	['Human', 'Samurai']	2	['White']	2	1	Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.) You may pay {X} rather than pay the mana cost for Samurai spells you cast, where X is that spell's converted mana cost.	['BOK']
Goblin Bushwhacker	['Creature']	['Goblin', 'Warrior']	1	['Red']	1	1	Kicker {R} (You may pay an additional {R} as you cast this spell.) When Goblin Bushwhacker enters the battlefield, if it was kicked, creatures you control get +1/+0 and gain haste until end of turn.	['ZEN']
Primal Clay	['Artifact', 'Creature']	['Shapeshifter']	4	colorless	*	*	As Primal Clay enters the battlefield, it becomes your choice of a 3/3 artifact creature, a 2/2 artifact creature with flying, or a 1/6 Wall artifact creature with defender in addition to its other types. (A creature with defender can't attack.)	['ATQ', '3ED', '4ED', '5ED', '6ED', 'ME4', 'M13']
Spur Grappler	['Creature']	['Beast']	3	['Red']	2	1	Spur Grappler gets +2/+1 as long as you control no untapped lands.	['PCY']
Realm Seekers	['Creature']	['Elf', 'Scout']	6	['Green']	0	0	Realm Seekers enters the battlefield with X +1/+1 counters on it, where X is the total number of cards in all players' hands. {2}{G}, Remove a +1/+1 counter from Realm Seekers: Search your library for a land card, reveal it, put it into your hand, then shuffle your library.	['CNS', 'VMA']
Alpha Myr	['Artifact', 'Creature']	['Myr']	2	colorless	2	1	NA	['MRD']
Vile Deacon	['Creature']	['Human', 'Cleric']	4	['Black']	2	2	Whenever Vile Deacon attacks, it gets +X/+X until end of turn, where X is the number of Clerics on the battlefield.	['LGN']
Kaho, Minamo Historian	['Creature']	['Human', 'Wizard']	4	['Blue']	2	2	When Kaho, Minamo Historian enters the battlefield, search your library for up to three instant cards and exile them. Then shuffle your library. {X}, {T}: You may cast a card with converted mana cost X exiled with Kaho without paying its mana cost.	['SOK']
Mycoloth	['Creature']	['Fungus']	5	['Green']	4	4	Devour 2 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with twice that many +1/+1 counters on it.) At the beginning of your upkeep, put a 1/1 green Saproling creature token onto the battlefield for each +1/+1 counter on Mycoloth.	['ALA', 'PC2']
Saprazzan Breaker	['Creature']	['Beast']	5	['Blue']	3	3	{U}: Put the top card of your library into your graveyard. If that card is a land card, Saprazzan Breaker can't be blocked this turn.	['MMQ']
Baron Sengir	['Creature']	['Vampire']	8	['Black']	5	5	Flying Whenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir. {T}: Regenerate another target Vampire.	['HML', 'MED']
Pincher Beetles	['Creature']	['Insect']	3	['Green']	3	1	Shroud (This creature can't be the target of spells or abilities.)	['TMP', 'BRB', '10E']
Carrion Beetles	['Creature']	['Insect']	1	['Black']	1	1	{2}{B}, {T}: Exile up to three target cards from a single graveyard.	['USG']
Frostburn Weird	['Creature']	['Weird']	2	['Blue', 'Red']	1	4	{U/R}: Frostburn Weird gets +1/-1 until end of turn.	['RTR']
Nantuko Blightcutter	['Creature']	['Insect', 'Druid']	3	['Green']	2	2	Protection from black Threshold — Nantuko Blightcutter gets +1/+1 for each black permanent your opponents control as long as seven or more cards are in your graveyard.	['TOR']
Duskmantle Seer	['Creature']	['Vampire', 'Wizard']	4	['Blue', 'Black']	4	4	Flying At the beginning of your upkeep, each player reveals the top card of his or her library, loses life equal to that card's converted mana cost, then puts it into his or her hand.	['GTC']
Rustspore Ram	['Artifact', 'Creature']	['Sheep']	4	colorless	1	3	When Rustspore Ram enters the battlefield, destroy target Equipment.	['MRD']
Crypt Ghast	['Creature']	['Spirit']	4	['Black']	2	2	Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.) Whenever you tap a Swamp for mana, add {B} to your mana pool (in addition to the mana the land produces).	['GTC', 'C14']
Searchlight Geist	['Creature']	['Spirit']	3	['Black']	2	1	Flying {3}{B}: Searchlight Geist gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)	['AVR']
Makeshift Mauler	['Creature']	['Zombie', 'Horror']	4	['Blue']	4	5	As an additional cost to cast Makeshift Mauler, exile a creature card from your graveyard.	['ISD']
Divebomber Griffin	['Creature']	['Griffin']	5	['White']	3	2	Flying {T}, Sacrifice Divebomber Griffin: Divebomber Griffin deals 3 damage to target attacking or blocking creature.	['RAV']
Wandering Mage	['Creature']	['Human', 'Cleric', 'Wizard']	3	['White', 'Blue', 'Black']	0	3	{W}, Pay 1 life: Prevent the next 2 damage that would be dealt to target creature this turn. {U}: Prevent the next 1 damage that would be dealt to target Cleric or Wizard creature this turn. {B}, Put a -1/-1 counter on a creature you control: Prevent the next 2 damage that would be dealt to target player this turn.	['ALL', 'ME3']
Jhessian Thief	['Creature']	['Human', 'Rogue']	3	['Blue']	1	3	Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever Jhessian Thief deals combat damage to a player, draw a card.	['ORI']
Death Speakers	['Creature']	['Human', 'Cleric']	1	['White']	1	1	Protection from black	['HML', '5ED', 'MED']
Veilborn Ghoul	['Creature']	['Zombie']	5	['Black']	4	1	Veilborn Ghoul can't block. Whenever a Swamp enters the battlefield under your control, you may return Veilborn Ghoul from your graveyard to your hand.	['M13']
Leaden Myr	['Artifact', 'Creature']	['Myr']	2	colorless	1	1	{T}: Add {B} to your mana pool.	['MRD', 'HOP', 'SOM']
Soulfire Grand Master	['Creature']	['Human', 'Monk']	2	['White']	2	2	Lifelink Instant and sorcery spells you control have lifelink. {2}{U/R}{U/R}: The next time you cast an instant or sorcery spell from your hand this turn, put that card into your hand instead of into your graveyard as it resolves.	['FRF']
Quill-Slinger Boggart	['Creature']	['Goblin', 'Warrior']	4	['Black']	3	2	Whenever a player casts a Kithkin spell, you may have target player lose 1 life.	['LRW']
Spike Drone	['Creature']	['Spike', 'Drone']	1	['Green']	0	0	Spike Drone enters the battlefield with a +1/+1 counter on it. {2}, Remove a +1/+1 counter from Spike Drone: Put a +1/+1 counter on target creature.	['TMP']
Thing from the Deep	['Creature']	['Leviathan']	9	['Blue']	9	9	Whenever Thing from the Deep attacks, sacrifice it unless you sacrifice an Island.	['POR', 'ME4']
Glowrider	['Creature']	['Human', 'Cleric']	3	['White']	2	1	Noncreature spells cost {1} more to cast.	['LGN']
Knucklebone Witch	['Creature']	['Goblin', 'Shaman']	1	['Black']	1	1	Whenever a Goblin you control is put into a graveyard from the battlefield, you may put a +1/+1 counter on Knucklebone Witch.	['LRW']
Martyr of Bones	['Creature']	['Human', 'Wizard']	1	['Black']	1	1	{1}, Reveal X black cards from your hand, Sacrifice Martyr of Bones: Exile up to X target cards from a single graveyard.	['CSP']
S.N.O.T.	['Creature']	['Ooze']	1	['Green']	*²	*²	As S.N.O.T. comes into play, you may stick it onto another creature named S.N.O.T. in play. If you do, all those creatures form a single creature. S.N.O.T.'s power and toughness are equal to the square of the number of S.N.O.T.s stuck together. (One is a 1/1, two are a 4/4, three are a 9/9, and four are a 16/16.)	['UNH']
Aven Fateshaper	['Creature']	['Bird', 'Wizard']	7	['Blue']	4	5	Flying When Aven Fateshaper enters the battlefield, look at the top four cards of your library, then put them back in any order. {4}{U}: Look at the top four cards of your library, then put them back in any order.	['ONS']
Dire Wolves	['Creature']	['Wolf']	3	['Green']	2	2	Dire Wolves has banding as long as you control a Plains. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	['ICE']
Akroma, Angel of Wrath	['Creature']	['Angel']	8	['White']	6	6	Flying, first strike, vigilance, trample, haste, protection from black and from red	['LGN', 'TSB', 'DDC', 'DD3_DVD', 'V15']
Archdemon of Unx	['Creature']	['Demon']	7	['Black']	6	6	Flying, trample At the beginning of your upkeep, sacrifice a non-Zombie creature, then put a 2/2 black Zombie creature token onto the battlefield.	['ALA']
Kiyomaro, First to Stand	['Creature']	['Spirit']	5	['White']	*	*	Kiyomaro, First to Stand's power and toughness are each equal to the number of cards in your hand. As long as you have four or more cards in hand, Kiyomaro has vigilance. Whenever Kiyomaro deals damage, if you have seven or more cards in hand, you gain 7 life.	['pPRE', 'SOK']
Abyssal Horror	['Creature']	['Horror']	6	['Black']	2	2	Flying When Abyssal Horror enters the battlefield, target player discards two cards.	['USG', 'S99', '7ED']
Bogardan Rager	['Creature']	['Elemental']	6	['Red']	3	4	Flash (You may cast this spell any time you could cast an instant.) When Bogardan Rager enters the battlefield, target creature gets +4/+0 until end of turn.	['TSP', 'HOP', 'DDG']
Kor Sanctifiers	['Creature']	['Kor', 'Cleric']	3	['White']	2	3	Kicker {W} (You may pay an additional {W} as you cast this spell.) When Kor Sanctifiers enters the battlefield, if it was kicked, destroy target artifact or enchantment.	['HOP', 'ZEN', 'C14']
Cinderbones	['Creature']	['Elemental', 'Skeleton']	3	['Black']	1	1	Wither (This deals damage to creatures in the form of -1/-1 counters.) {1}{B}: Regenerate Cinderbones.	['SHM']
Soldier of Fortune	['Creature']	['Human', 'Mercenary']	1	['Red']	1	1	{R}, {T}: Target player shuffles his or her library.	['ALL']
Custodi Squire	['Creature']	['Spirit', 'Cleric']	5	['White']	3	3	Flying Will of the council — When Custodi Squire enters the battlefield, starting with you, each player votes for an artifact, creature, or enchantment card in your graveyard. Return each card with the most votes or tied for most votes to your hand.	['CNS']
Floodgate	['Creature']	['Wall']	4	['Blue']	0	5	Defender (This creature can't attack.) When Floodgate has flying, sacrifice it. When Floodgate leaves the battlefield, it deals damage equal to half the number of Islands you control, rounded down, to each nonblue creature without flying.	['MIR']
Timely Hordemate	['Creature']	['Human', 'Warrior']	4	['White']	3	2	Raid — When Timely Hordemate enters the battlefield, if you attacked with a creature this turn, return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.	['KTK']
Goblin Artillery	['Creature']	['Goblin', 'Warrior']	3	['Red']	1	3	{T}: Goblin Artillery deals 2 damage to target creature or player and 3 damage to you.	['M10']
Shore Snapper	['Creature']	['Beast']	3	['Black']	2	2	{U}: Shore Snapper gains islandwalk until end of turn. (It can't be blocked as long as defending player controls an Island.)	['ALA']
Skysnare Spider	['Creature']	['Spider']	6	['Green']	6	6	Vigilance (Attacking doesn't cause this creature to tap.) Reach (This creature can block creatures with flying.)	['ORI']
Giant Warthog	['Creature']	['Boar', 'Beast']	6	['Green']	5	5	Trample	['JUD']
Chainbreaker	['Artifact', 'Creature']	['Scarecrow']	2	colorless	3	3	Chainbreaker enters the battlefield with two -1/-1 counters on it. {3}, {T}: Remove a -1/-1 counter from target creature.	['SHM']
Sabertooth Alley Cat	['Creature']	['Cat']	3	['Red']	2	1	Sabertooth Alley Cat attacks each turn if able. {1}{R}: Creatures without defender can't block Sabertooth Alley Cat this turn.	['RAV']
Muck Rats	['Creature']	['Rat']	1	['Black']	1	1	NA	['POR', 'PO2', 'S99']
Merfolk Wayfinder	['Creature']	['Merfolk', 'Scout']	3	['Blue']	1	2	Flying When Merfolk Wayfinder enters the battlefield, reveal the top three cards of your library. Put all Island cards revealed this way into your hand and the rest on the bottom of your library in any order.	['ZEN', 'DDM']
Canopy Dragon	['Creature']	['Dragon']	6	['Green']	4	4	Trample {1}{G}: Canopy Dragon gains flying and loses trample until end of turn.	['MIR']
Tidal Force	['Creature']	['Elemental']	8	['Blue']	7	7	At the beginning of each upkeep, you may tap or untap target permanent.	['C13']
Aura Thief	['Creature']	['Illusion']	4	['Blue']	2	2	Flying When Aura Thief dies, you gain control of all enchantments. (You don't get to move Auras.)	['UDS']
Noxious Dragon	['Creature']	['Dragon']	6	['Black']	4	4	Flying When Noxious Dragon dies, you may destroy target creature with converted mana cost 3 or less.	['FRF']
Brindle Boar	['Creature']	['Boar']	3	['Green']	2	2	Sacrifice Brindle Boar: You gain 4 life.	['M11', 'M12', 'M14']
Degavolver	['Creature']	['Volver']	2	['White']	1	1	Kicker {1}{B} and/or {R} (You may pay an additional {1}{B} and/or {R} as you cast this spell.) If Degavolver was kicked with its {1}{B} kicker, it enters the battlefield with two +1/+1 counters on it and with "Pay 3 life: Regenerate Degavolver." If Degavolver was kicked with its {R} kicker, it enters the battlefield with a +1/+1 counter on it and with first strike.	['APC']
Sigarda, Host of Herons	['Creature']	['Angel']	5	['White', 'Green']	5	5	Flying, hexproof Spells and abilities your opponents control can't cause you to sacrifice permanents.	['AVR']
Roiling Horror	['Creature']	['Horror']	5	['Black']	*	*	Roiling Horror's power and toughness are each equal to your life total minus the life total of an opponent with the most life. Suspend X—{X}{B}{B}{B}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{B}{B}{B} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.) Whenever a time counter is removed from Roiling Horror while it's exiled, target player loses 1 life and you gain 1 life.	['PLC']
Geralf's Messenger	['Creature']	['Zombie']	3	['Black']	3	2	Geralf's Messenger enters the battlefield tapped. When Geralf's Messenger enters the battlefield, target opponent loses 2 life. Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	['DKA']
Satyr Rambler	['Creature']	['Satyr']	2	['Red']	2	1	Trample	['THS']
Arcanis the Omnipotent	['Creature']	['Wizard']	6	['Blue']	3	4	{T}: Draw three cards. {2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.	['ONS', '10E', 'DDN']
Elvish Archers	['Creature']	['Elf', 'Archer']	2	['Green']	2	1	First strike	['LEA', 'LEB', '2ED', 'CED', 'CEI', '3ED', '4ED', 'RQS', 'ITP', '5ED', '6ED', '7ED']
Wingmate Roc	['Creature']	['Bird']	5	['White']	3	4	Flying Raid — When Wingmate Roc enters the battlefield, if you attacked with a creature this turn, put a 3/4 white Bird creature token with flying onto the battlefield. Whenever Wingmate Roc attacks, you gain 1 life for each attacking creature.	['KTK']
Penumbra Kavu	['Creature']	['Kavu']	5	['Green']	3	3	When Penumbra Kavu dies, put a 3/3 black Kavu creature token onto the battlefield.	['APC']
Fallen Angel	['Creature']	['Angel']	5	['Black']	3	3	Flying Sacrifice a creature: Fallen Angel gets +2/+1 until end of turn.	['LEG', 'CHR', '5ED', '6ED', 'BTD', '7ED', '8ED', 'DDC', 'CMD', 'DD3_DVD']
Kuon, Ogre Ascendant	['Creature']	['Ogre', 'Monk']	3	['Black']	2	4	At the beginning of the end step, if three or more creatures died this turn, flip Kuon, Ogre Ascendant.	['SOK']
Wall of Air	['Creature']	['Wall']	3	['Blue']	1	5	Defender, flying (This creature can't attack, and it can block creatures with flying.)	['LEA', 'LEB', '2ED', 'CED', 'CEI', '3ED', '4ED', '5ED', '6ED', '7ED', '8ED', '10E']
Sol'kanar the Swamp King	['Creature']	['Demon']	5	['Blue', 'Black', 'Red']	5	5	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) Whenever a player casts a black spell, you gain 1 life.	['LEG', 'CHR', 'TSB']
Phantom General	['Creature']	['Spirit', 'Soldier']	4	['White']	2	3	Creature tokens you control get +1/+1.	['RTR', 'DDK']
Hunted Troll	['Creature']	['Troll', 'Warrior']	4	['Green']	8	4	When Hunted Troll enters the battlefield, target opponent puts four 1/1 blue Faerie creature tokens with flying onto the battlefield. {G}: Regenerate Hunted Troll.	['RAV', 'C13']
Demon of Death's Gate	['Creature']	['Demon']	9	['Black']	9	9	You may pay 6 life and sacrifice three black creatures rather than pay Demon of Death's Gate's mana cost. Flying, trample	['M11']
Palace Guard	['Creature']	['Human', 'Soldier']	3	['White']	1	4	Palace Guard can block any number of creatures.	['M10', 'M11']
Martyr of Spores	['Creature']	['Human', 'Shaman']	1	['Green']	1	1	{1}, Reveal X green cards from your hand, Sacrifice Martyr of Spores: Target creature gets +X/+X until end of turn.	['CSP']
Willow Dryad	['Creature']	['Dryad']	1	['Green']	1	1	Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)	['POR']
Ranger of Eos	['Creature']	['Human', 'Soldier']	4	['White']	3	2	When Ranger of Eos enters the battlefield, you may search your library for up to two creature cards with converted mana cost 1 or less, reveal them, and put them into your hand. If you do, shuffle your library.	['ALA']
Rakdos Ragemutt	['Creature']	['Elemental', 'Hound']	5	['Black', 'Red']	3	3	Lifelink, haste	['RTR']
Tower Drake	['Creature']	['Drake']	3	['Blue']	2	1	Flying {W}: Tower Drake gets +0/+1 until end of turn.	['INV', 'RTR']
Keldon Berserker	['Creature']	['Human', 'Soldier', 'Berserker']	4	['Red']	2	3	Whenever Keldon Berserker attacks, if you control no untapped lands, it gets +3/+0 until end of turn.	['PCY']
Frenetic Efreet	['Creature']	['Efreet']	3	['Blue', 'Red']	2	1	Flying {0}: Flip a coin. If you win the flip, Frenetic Efreet phases out. If you lose the flip, sacrifice Frenetic Efreet. (While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)	['MIR']
Blind Seer	['Creature']	['Human', 'Wizard']	4	['Blue']	3	3	{1}{U}: Target spell or permanent becomes the color of your choice until end of turn.	['INV']
Iona, Shield of Emeria	['Creature']	['Angel']	9	['White']	7	7	Flying As Iona, Shield of Emeria enters the battlefield, choose a color. Your opponents can't cast spells of the chosen color.	['ZEN', 'MM2', 'V15']
Gold Myr	['Artifact', 'Creature']	['Myr']	2	colorless	1	1	{T}: Add {W} to your mana pool.	['MRD', 'HOP', 'SOM']
Sawback Manticore	['Creature']	['Manticore']	5	['Red', 'Green']	2	4	{4}: Sawback Manticore gains flying until end of turn. {1}: Sawback Manticore deals 2 damage to target attacking or blocking creature. Activate this ability only if Sawback Manticore is attacking or blocking and only once each turn.	['MIR']
Ohran Yeti	['Creature']	['Yeti']	4	['Red']	3	3	{2}{S}: Target snow creature gains first strike until end of turn. ({S} can be paid with one mana from a snow permanent.)	['CSP']
Exalted Angel	['Creature']	['Angel']	6	['White']	4	5	Flying Whenever Exalted Angel deals damage, you gain that much life. Morph {2}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	['pJGP', 'ONS', 'V15']
Patrol Signaler	['Creature']	['Kithkin', 'Soldier']	2	['White']	1	1	{1}{W}, {Q}: Put a 1/1 white Kithkin Soldier creature token onto the battlefield. ({Q} is the untap symbol.)	['EVE']
Abzan Guide	['Creature']	['Human', 'Warrior']	6	['White', 'Black', 'Green']	4	4	Lifelink (Damage dealt by this creature also causes you to gain that much life.) Morph {2}{W}{B}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	['KTK']
Chancellor of the Forge	['Creature']	['Giant']	7	['Red']	5	5	You may reveal this card from your opening hand. If you do, at the beginning of the first upkeep, put a 1/1 red Goblin creature token with haste onto the battlefield. When Chancellor of the Forge enters the battlefield, put X 1/1 red Goblin creature tokens with haste onto the battlefield, where X is the number of creatures you control.	['NPH']
Lorthos, the Tidemaker	['Creature']	['Octopus']	8	['Blue']	8	8	Whenever Lorthos, the Tidemaker attacks, you may pay {8}. If you do, tap up to eight target permanents. Those permanents don't untap during their controllers' next untap steps.	['ZEN', 'C14']
Relic Seeker	['Creature']	['Human', 'Soldier']	2	['White']	2	2	Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.) When Relic Seeker becomes renowned, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle your library.	['ORI']
Bellowing Saddlebrute	['Creature']	['Orc', 'Warrior']	4	['Black']	4	5	Raid — When Bellowing Saddlebrute enters the battlefield, you lose 4 life unless you attacked with a creature this turn.	['KTK']
Copperhoof Vorrac	['Creature']	['Boar', 'Beast']	5	['Green']	2	2	Copperhoof Vorrac gets +1/+1 for each untapped permanent your opponents control.	['MRD']
Mistform Skyreaver	['Creature']	['Illusion']	7	['Blue']	6	6	Flying {1}: Mistform Skyreaver becomes the creature type of your choice until end of turn.	['ONS']
Skinrender	['Creature']	['Zombie']	4	['Black']	3	3	When Skinrender enters the battlefield, put three -1/-1 counters on target creature.	['pWPN', 'SOM']
Wei Night Raiders	['Creature']	['Human', 'Soldier']	4	['Black']	2	2	Horsemanship (This creature can't be blocked except by creatures with horsemanship.) Whenever Wei Night Raiders deals damage to an opponent, that player discards a card.	['PTK', 'ME3']
